Timestamp;w_time;w_yaw
954086;7967;4.134370E+003
955086;7968;4.134358E+003
956104;7969;4.134317E+003
957087;7970;4.134331E+003
958091;7971;4.134373E+003
959090;7972;4.134370E+003
960089;7973;4.134440E+003
961089;7974;4.134419E+003
962085;7975;4.134394E+003
963084;7976;4.134420E+003
964089;7977;4.134414E+003
965089;7978;4.134414E+003
966085;7979;4.134411E+003
967100;7980;4.134510E+003
968092;7981;4.134567E+003
969088;7982;4.134534E+003
970090;7983;4.134520E+003
971086;7984;4.134554E+003
972086;7985;4.134530E+003
973091;7986;4.134483E+003
974091;7987;4.134495E+003
975087;7988;4.134497E+003
976086;7989;4.134449E+003
977091;7990;4.134407E+003
978099;7991;4.134393E+003
979091;7992;4.134353E+003
980090;7993;4.134335E+003
981089;7994;4.134312E+003
982086;7995;4.134304E+003
983085;7996;4.134347E+003
984090;7997;4.134488E+003
985089;7998;4.134416E+003
986085;7999;4.134398E+003
987085;8000;4.134438E+003
988090;8001;4.134387E+003
989102;8002;4.134438E+003
990087;8003;4.134419E+003
991092;8004;4.134458E+003
992092;8005;4.134405E+003
